url_path,views_total,views_unique
/vladdoster/dotfiles/issues,9,8
/vladdoster/dotfiles/tree/master/zsh/.config/zsh/rc.d,4,1
/vladdoster/dotfiles/pulls,3,3
/vladdoster/dotfiles,2,2
/vladdoster/dotfiles/tree/master/zsh,2,2
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/.zshrc,2,1
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/00-env.zsh,2,1
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/06-zinit.zsh,2,1
/vladdoster/dotfiles/blob/23852314cf226e34b158d7769ee0bdf2e64d0720/zsh/.config/zsh/rc.d/03-zinit.zsh,1,1
/vladdoster/dotfiles/blob/master/.stow-local-ignore,1,1
