url_path,views_total,views_unique
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/04-zinit.zsh,5,2
/vladdoster/dotfiles/actions/workflows/release.yml,3,1
/vladdoster/dotfiles,2,2
/vladdoster/dotfiles/blob/master/.local/bin/statusbar/network_traffic,2,1
/vladdoster/dotfiles/actions/runs/11311871483,1,1
/vladdoster/dotfiles/actions/runs/11311871483/job/31458602114,1,1
/vladdoster/dotfiles/blob/23852314cf226e34b158d7769ee0bdf2e64d0720/zsh/.config/zsh/rc.d/03-zinit.zsh,1,1
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/05-completion.zsh,1,1
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/06-zinit.zsh,1,1
/vladdoster/dotfiles/labels/breaking,1,1
