time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-30 00:00:00+00:00,17,7,30.0,1.0
2023-12-31 00:00:00+00:00,10,4,4.0,4.0
2024-01-01 00:00:00+00:00,8,4,,
2024-01-02 00:00:00+00:00,31,11,,
2024-01-03 00:00:00+00:00,16,8,7.0,2.0
2024-01-04 00:00:00+00:00,23,13,19.0,5.0
2024-01-05 00:00:00+00:00,27,11,69.0,4.0
2024-01-06 00:00:00+00:00,20,9,4.0,3.0
2024-01-07 00:00:00+00:00,17,6,9.0,2.0
2024-01-08 00:00:00+00:00,18,9,2.0,2.0
2024-01-09 00:00:00+00:00,13,8,13.0,3.0
2024-01-10 00:00:00+00:00,9,5,,
2024-01-11 00:00:00+00:00,44,15,,
2024-01-12 00:00:00+00:00,40,8,3.0,3.0
