time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-13 00:00:00+00:00,21,7,,
2024-11-14 00:00:00+00:00,17,5,,
2024-11-15 00:00:00+00:00,14,3,1.0,1.0
2024-11-16 00:00:00+00:00,17,5,1.0,1.0
2024-11-17 00:00:00+00:00,15,4,2.0,1.0
2024-11-18 00:00:00+00:00,15,3,,
2024-11-19 00:00:00+00:00,22,6,,
2024-11-20 00:00:00+00:00,22,7,,
2024-11-21 00:00:00+00:00,19,7,3.0,2.0
2024-11-22 00:00:00+00:00,16,5,1.0,1.0
2024-11-23 00:00:00+00:00,14,3,1.0,1.0
2024-11-24 00:00:00+00:00,16,5,,
2024-11-25 00:00:00+00:00,16,5,1.0,1.0
2024-11-26 00:00:00+00:00,13,2,,
