url_path,views_total,views_unique
/vladdoster/remember.nvim,26,17
/vladdoster/remember.nvim/blob/master/doc/remember.txt,8,4
/vladdoster/remember.nvim/issues,5,3
/vladdoster/remember.nvim/blob/master/lua/remember.lua,4,2
/vladdoster/remember.nvim/tree/master/lua,4,2
/vladdoster/remember.nvim/pulls,3,1
/vladdoster/remember.nvim/tree/master/doc,2,1
/vladdoster/remember.nvim/commit/1b5176283bcf91d052b5755d9ba6e8ce14dfc95b,1,1
/vladdoster/remember.nvim/issues/6,1,1
/vladdoster/remember.nvim/pull/9,1,1
