time_iso8601,stars_cumulative
2022-03-25 00:00:00+00:00,802
2022-03-27 00:00:00+00:00,803
2022-03-28 00:00:00+00:00,805
2022-03-30 00:00:00+00:00,808
2022-03-31 00:00:00+00:00,814
2022-04-01 00:00:00+00:00,817
2022-04-02 00:00:00+00:00,822
2022-04-03 00:00:00+00:00,824
2022-04-04 00:00:00+00:00,827
2022-04-05 00:00:00+00:00,829
2022-04-06 00:00:00+00:00,835
2022-04-07 00:00:00+00:00,838
2022-04-08 00:00:00+00:00,842
2022-04-09 00:00:00+00:00,845
2022-04-10 00:00:00+00:00,847
2022-04-11 00:00:00+00:00,851
2022-04-12 00:00:00+00:00,852
2022-04-13 00:00:00+00:00,856
2022-04-14 00:00:00+00:00,858
2022-04-15 00:00:00+00:00,859
2022-04-16 00:00:00+00:00,865
2022-04-17 00:00:00+00:00,871
2022-04-18 00:00:00+00:00,872
2022-04-19 00:00:00+00:00,875
2022-04-20 00:00:00+00:00,877
2022-04-21 00:00:00+00:00,882
2022-04-22 00:00:00+00:00,884
2022-04-24 00:00:00+00:00,890
2022-04-25 00:00:00+00:00,893
2022-04-27 00:00:00+00:00,895
2022-04-28 00:00:00+00:00,900
2022-04-29 00:00:00+00:00,912
2022-04-30 00:00:00+00:00,917
2022-05-01 00:00:00+00:00,919
2022-05-02 00:00:00+00:00,921
2022-05-03 00:00:00+00:00,926
2022-05-04 00:00:00+00:00,928
2022-05-05 00:00:00+00:00,930
2022-05-06 00:00:00+00:00,932
2022-05-07 00:00:00+00:00,933
2022-05-08 00:00:00+00:00,937
2022-05-09 00:00:00+00:00,940
2022-05-10 00:00:00+00:00,943
2022-05-11 00:00:00+00:00,945
2022-05-12 00:00:00+00:00,948
2022-05-13 00:00:00+00:00,949
2022-05-15 00:00:00+00:00,951
2022-05-16 00:00:00+00:00,955
2022-05-17 00:00:00+00:00,959
2022-05-18 00:00:00+00:00,963
2022-05-19 00:00:00+00:00,964
2022-05-20 00:00:00+00:00,971
2022-05-21 00:00:00+00:00,976
2022-05-22 00:00:00+00:00,978
2022-05-23 00:00:00+00:00,983
2022-05-24 00:00:00+00:00,985
2022-05-25 00:00:00+00:00,987
2022-05-26 00:00:00+00:00,988
2022-05-27 00:00:00+00:00,989
2022-05-28 00:00:00+00:00,994
2022-05-29 00:00:00+00:00,998
2022-05-31 00:00:00+00:00,1000
2022-06-01 00:00:00+00:00,1002
2022-06-02 00:00:00+00:00,1003
2022-06-04 00:00:00+00:00,1005
2022-06-05 00:00:00+00:00,1007
2022-06-06 00:00:00+00:00,1010
2022-06-07 00:00:00+00:00,1012
2022-06-08 00:00:00+00:00,1013
2022-06-09 00:00:00+00:00,1015
2022-06-10 00:00:00+00:00,1018
2022-06-11 00:00:00+00:00,1021
2022-06-12 00:00:00+00:00,1025
2022-06-13 00:00:00+00:00,1028
2022-06-14 00:00:00+00:00,1030
2022-06-16 00:00:00+00:00,1032
2022-06-17 00:00:00+00:00,1034
2022-06-18 00:00:00+00:00,1036
2022-06-19 00:00:00+00:00,1038
2022-06-20 00:00:00+00:00,1041
2022-06-21 00:00:00+00:00,1043
2022-06-22 00:00:00+00:00,1045
2022-06-23 00:00:00+00:00,1048
2022-06-24 00:00:00+00:00,1049
2022-06-26 00:00:00+00:00,1051
2022-06-27 00:00:00+00:00,1058
2022-06-28 00:00:00+00:00,1062
2022-06-29 00:00:00+00:00,1066
2022-06-30 00:00:00+00:00,1069
2022-07-01 00:00:00+00:00,1072
2022-07-02 00:00:00+00:00,1073
2022-07-03 00:00:00+00:00,1076
2022-07-04 00:00:00+00:00,1077
2022-07-05 00:00:00+00:00,1078
2022-07-06 00:00:00+00:00,1080
2022-07-07 00:00:00+00:00,1081
2022-07-08 00:00:00+00:00,1085
2022-07-09 00:00:00+00:00,1090
2022-07-10 00:00:00+00:00,1091
2022-07-12 00:00:00+00:00,1094
2022-07-13 00:00:00+00:00,1099
2022-07-14 00:00:00+00:00,1102
2022-07-15 00:00:00+00:00,1107
2022-07-16 00:00:00+00:00,1108
2022-07-17 00:00:00+00:00,1111
2022-07-18 00:00:00+00:00,1114
2022-07-20 00:00:00+00:00,1117
2022-07-21 00:00:00+00:00,1119
2022-07-22 00:00:00+00:00,1121
2022-07-23 00:00:00+00:00,1125
2022-07-24 00:00:00+00:00,1126
2022-07-25 00:00:00+00:00,1127
2022-07-26 00:00:00+00:00,1128
2022-07-27 00:00:00+00:00,1132
2022-07-28 00:00:00+00:00,1139
2022-07-29 00:00:00+00:00,1143
2022-07-31 00:00:00+00:00,1144
2022-08-01 00:00:00+00:00,1145
2022-08-02 00:00:00+00:00,1149
2022-08-03 00:00:00+00:00,1151
2022-08-04 00:00:00+00:00,1154
2022-08-05 00:00:00+00:00,1155
2022-08-06 00:00:00+00:00,1156
2022-08-07 00:00:00+00:00,1158
2022-08-08 00:00:00+00:00,1159
2022-08-09 00:00:00+00:00,1160
2022-08-10 00:00:00+00:00,1164
2022-08-11 00:00:00+00:00,1167
2022-08-12 00:00:00+00:00,1169
2022-08-13 00:00:00+00:00,1173
2022-08-14 00:00:00+00:00,1174
2022-08-16 00:00:00+00:00,1176
2022-08-17 00:00:00+00:00,1179
2022-08-18 00:00:00+00:00,1180
2022-08-19 00:00:00+00:00,1181
2022-08-20 00:00:00+00:00,1183
2022-08-21 00:00:00+00:00,1185
2022-08-22 00:00:00+00:00,1186
2022-08-23 00:00:00+00:00,1187
2022-08-24 00:00:00+00:00,1192
2022-08-25 00:00:00+00:00,1193
2022-08-27 00:00:00+00:00,1195
2022-08-28 00:00:00+00:00,1197
2022-08-29 00:00:00+00:00,1199
