time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-22 00:00:00+00:00,220,185,159,100
2023-06-23 00:00:00+00:00,216,177,199,101
2023-06-24 00:00:00+00:00,376,204,159,83
2023-06-25 00:00:00+00:00,221,144,153,82
2023-06-26 00:00:00+00:00,278,211,181,124
2023-06-27 00:00:00+00:00,258,206,142,95
2023-06-28 00:00:00+00:00,207,169,146,93
2023-06-29 00:00:00+00:00,205,159,184,102
2023-06-30 00:00:00+00:00,269,190,197,104
2023-07-01 00:00:00+00:00,225,158,159,72
2023-07-02 00:00:00+00:00,194,155,160,81
2023-07-03 00:00:00+00:00,280,204,203,113
2023-07-04 00:00:00+00:00,267,194,237,106
2023-07-05 00:00:00+00:00,295,210,217,132
2023-07-06 00:00:00+00:00,300,196,242,106
2023-07-07 00:00:00+00:00,244,160,146,92
2023-07-08 00:00:00+00:00,313,199,147,71
2023-07-09 00:00:00+00:00,202,167,201,79
2023-07-10 00:00:00+00:00,293,201,257,103
2023-07-11 00:00:00+00:00,391,242,194,100
2023-07-12 00:00:00+00:00,230,197,182,104
2023-07-13 00:00:00+00:00,203,184,206,102
2023-07-14 00:00:00+00:00,264,194,220,91
2023-07-15 00:00:00+00:00,223,180,151,79
2023-07-16 00:00:00+00:00,225,185,180,69
2023-07-17 00:00:00+00:00,291,249,224,113
2023-07-18 00:00:00+00:00,206,176,178,97
2023-07-19 00:00:00+00:00,228,187,240,126
2023-07-20 00:00:00+00:00,276,187,153,101
2023-07-21 00:00:00+00:00,257,170,210,99
2023-07-22 00:00:00+00:00,260,164,135,74
2023-07-23 00:00:00+00:00,366,214,122,69
2023-07-24 00:00:00+00:00,229,184,164,100
2023-07-25 00:00:00+00:00,291,216,176,106
2023-07-26 00:00:00+00:00,263,198,281,104
2023-07-27 00:00:00+00:00,254,197,215,114
2023-07-28 00:00:00+00:00,274,184,216,111
2023-07-29 00:00:00+00:00,355,177,129,72
2023-07-30 00:00:00+00:00,186,141,139,69
2023-07-31 00:00:00+00:00,315,208,167,96
2023-08-01 00:00:00+00:00,264,200,188,117
2023-08-02 00:00:00+00:00,246,184,131,78
2023-08-03 00:00:00+00:00,199,175,145,93
2023-08-04 00:00:00+00:00,219,170,160,97
2023-08-05 00:00:00+00:00,197,139,202,70
2023-08-06 00:00:00+00:00,197,154,105,62
2023-08-07 00:00:00+00:00,281,190,157,100
2023-08-08 00:00:00+00:00,225,187,173,98
2023-08-09 00:00:00+00:00,217,172,127,79
2023-08-10 00:00:00+00:00,274,170,172,98
2023-08-11 00:00:00+00:00,239,180,168,103
2023-08-12 00:00:00+00:00,407,167,464,72
2023-08-13 00:00:00+00:00,242,123,95,60
2023-08-14 00:00:00+00:00,267,201,188,108
2023-08-15 00:00:00+00:00,316,172,238,100
2023-08-16 00:00:00+00:00,409,211,208,112
2023-08-17 00:00:00+00:00,300,201,212,94
2023-08-18 00:00:00+00:00,241,192,206,94
2023-08-19 00:00:00+00:00,177,139,168,76
2023-08-20 00:00:00+00:00,237,132,240,69
2023-08-21 00:00:00+00:00,277,213,190,92
2023-08-22 00:00:00+00:00,303,198,236,94
2023-08-23 00:00:00+00:00,209,173,239,109
2023-08-24 00:00:00+00:00,204,163,161,95
2023-08-25 00:00:00+00:00,227,178,174,85
2023-08-26 00:00:00+00:00,179,141,107,67
2023-08-27 00:00:00+00:00,219,153,127,65
2023-08-28 00:00:00+00:00,305,220,396,112
2023-08-29 00:00:00+00:00,246,187,219,113
2023-08-30 00:00:00+00:00,332,198,327,102
2023-08-31 00:00:00+00:00,248,218,164,92
2023-12-30 00:00:00+00:00,165,110,377,59
2023-12-31 00:00:00+00:00,141,118,92,52
2024-01-01 00:00:00+00:00,159,123,118,42
2024-01-02 00:00:00+00:00,262,193,160,75
2024-01-03 00:00:00+00:00,228,158,343,81
2024-01-04 00:00:00+00:00,286,204,258,97
2024-01-05 00:00:00+00:00,221,153,128,74
2024-01-06 00:00:00+00:00,196,157,146,60
2024-01-07 00:00:00+00:00,187,140,98,50
2024-01-08 00:00:00+00:00,250,207,181,92
2024-01-09 00:00:00+00:00,299,190,419,84
2024-01-10 00:00:00+00:00,250,201,224,91
2024-01-11 00:00:00+00:00,222,180,202,80
2024-01-12 00:00:00+00:00,223,177,190,81
2024-01-13 00:00:00+00:00,194,149,237,69
2024-01-14 00:00:00+00:00,312,162,459,55
2024-01-15 00:00:00+00:00,241,185,199,96
2024-01-16 00:00:00+00:00,242,169,279,88
2024-01-17 00:00:00+00:00,261,192,286,100
2024-01-18 00:00:00+00:00,338,207,422,104
2024-01-19 00:00:00+00:00,284,182,393,98
2024-01-20 00:00:00+00:00,181,141,278,58
2024-01-21 00:00:00+00:00,212,148,74,43
2024-01-22 00:00:00+00:00,369,234,449,98
2024-01-23 00:00:00+00:00,301,230,205,107
2024-01-24 00:00:00+00:00,207,169,212,80
2024-01-25 00:00:00+00:00,235,187,184,75
2024-01-26 00:00:00+00:00,283,197,298,78
2024-01-27 00:00:00+00:00,185,149,163,56
2024-01-28 00:00:00+00:00,174,148,164,57
2024-01-29 00:00:00+00:00,257,214,235,99
2024-01-30 00:00:00+00:00,271,214,316,106
2024-01-31 00:00:00+00:00,223,188,160,81
2024-02-01 00:00:00+00:00,272,191,205,90
2024-02-02 00:00:00+00:00,269,201,181,80
2024-02-03 00:00:00+00:00,243,156,150,53
2024-02-04 00:00:00+00:00,226,175,182,66
2024-02-05 00:00:00+00:00,338,238,220,86
2024-02-06 00:00:00+00:00,265,192,221,81
2024-02-07 00:00:00+00:00,294,216,144,85
2024-02-08 00:00:00+00:00,275,211,139,87
2024-02-09 00:00:00+00:00,207,163,111,69
2024-02-10 00:00:00+00:00,209,155,108,64
2024-02-11 00:00:00+00:00,273,181,192,67
2024-02-12 00:00:00+00:00,275,194,199,82
2024-02-13 00:00:00+00:00,191,166,106,66
2024-02-14 00:00:00+00:00,243,196,167,87
2024-02-15 00:00:00+00:00,233,187,226,88
2024-02-16 00:00:00+00:00,244,210,132,85
2024-02-17 00:00:00+00:00,198,157,121,63
2024-02-18 00:00:00+00:00,243,178,96,60
2024-02-19 00:00:00+00:00,266,210,156,77
2024-02-20 00:00:00+00:00,356,242,314,70
2024-02-21 00:00:00+00:00,286,211,150,83
2024-02-22 00:00:00+00:00,264,199,221,79
2024-02-23 00:00:00+00:00,234,190,247,87
2024-02-24 00:00:00+00:00,170,140,171,68
2024-02-25 00:00:00+00:00,241,174,166,69
2024-02-26 00:00:00+00:00,260,216,233,96
2024-02-27 00:00:00+00:00,255,200,162,79
2024-02-28 00:00:00+00:00,281,185,403,101
2024-02-29 00:00:00+00:00,276,173,221,88
2024-03-01 00:00:00+00:00,308,207,186,84
2024-03-02 00:00:00+00:00,238,174,117,57
2024-03-03 00:00:00+00:00,249,157,306,68
2024-03-04 00:00:00+00:00,291,207,186,89
2024-03-05 00:00:00+00:00,260,187,156,84
2024-03-06 00:00:00+00:00,194,165,158,89
2024-03-07 00:00:00+00:00,232,196,140,73
2024-03-08 00:00:00+00:00,235,196,148,78
2024-03-09 00:00:00+00:00,187,148,91,48
2024-03-10 00:00:00+00:00,229,165,91,50
2024-03-11 00:00:00+00:00,319,236,176,94
2024-03-12 00:00:00+00:00,238,189,130,78
2024-03-13 00:00:00+00:00,270,223,232,101
2024-03-14 00:00:00+00:00,243,203,253,104
2024-03-15 00:00:00+00:00,259,182,185,75
2024-03-16 00:00:00+00:00,214,150,139,68
2024-03-17 00:00:00+00:00,278,192,175,74
2024-03-18 00:00:00+00:00,270,220,234,97
2024-03-19 00:00:00+00:00,386,245,341,100
2024-03-20 00:00:00+00:00,279,212,218,99
2024-03-21 00:00:00+00:00,247,206,177,95
2024-03-22 00:00:00+00:00,243,187,190,73
2024-03-23 00:00:00+00:00,207,147,143,62
2024-03-24 00:00:00+00:00,226,193,104,54
