url_path,views_total,views_unique
/zdharma-continuum/zinit,2073,1376
/zdharma-continuum/zinit/issues,55,31
/zdharma-continuum/zinit/blob/main/README.md,37,18
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,24,16
/zdharma-continuum/zinit/tree/main/scripts,20,10
/zdharma-continuum/zinit/discussions/533,18,17
/zdharma-continuum/zinit/blob/main/scripts/install.sh,16,6
/zdharma-continuum/zinit/wiki,13,10
/zdharma-continuum/zinit/issues/647,12,12
/zdharma-continuum/zinit/discussions/312,12,11
