time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,694,561,170,108
2026-04-27 00:00:00+00:00,932,642,207,126
2026-04-28 00:00:00+00:00,852,585,141,99
2026-04-29 00:00:00+00:00,975,695,198,141
2026-04-30 00:00:00+00:00,881,564,180,119
2026-05-01 00:00:00+00:00,810,531,190,109
2026-05-02 00:00:00+00:00,645,486,110,78
2026-05-03 00:00:00+00:00,720,587,121,81
2026-05-04 00:00:00+00:00,905,687,179,113
2026-05-05 00:00:00+00:00,788,571,135,95
2026-05-06 00:00:00+00:00,895,615,139,83
2026-05-07 00:00:00+00:00,1049,713,138,95
2026-05-08 00:00:00+00:00,1006,623,180,110
2026-05-09 00:00:00+00:00,1083,676,139,90
