referrer,views_total,views_unique
Google,1452,829
youtube.com,194,115
github.com,137,85
search.brave.com,92,61
DuckDuckGo,87,59
chatgpt.com,73,54
Bing,40,25
zdharma-continuum.github.io,22,14
cn.bing.com,13,8
qiita.com,12,10
