url_path,views_total,views_unique
/zdharma-continuum/zinit,1818,1099
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,68,29
/zdharma-continuum/zinit/issues,58,32
/zdharma-continuum/zinit/blob/main/zinit.zsh,37,10
/zdharma-continuum/zinit/tree/main/doc,35,9
/zdharma-continuum/zinit/blob/main/README.md,31,11
/zdharma-continuum/zinit/tree/main/scripts,27,11
/zdharma-continuum/zinit/tree/main/share,23,7
/zdharma-continuum/zinit/wiki,21,15
/zdharma-continuum/zinit/blob/main/scripts/install.sh,20,9
