referrer,views_total,views_unique
Google,812,547
github.com,170,112
youtube.com,72,51
Bing,60,35
search.brave.com,53,32
wicksipedia.com,51,30
DuckDuckGo,49,37
zdharma-continuum.github.io,18,13
chatgpt.com,12,10
aloxaf.com,11,1
