url_path,views_total,views_unique
/zdharma-continuum/zinit,2049,1318
/zdharma-continuum/zinit/issues,44,27
/zdharma-continuum/zinit/blob/main/README.md,40,18
/zdharma-continuum/zinit/tree/main/scripts,22,13
/zdharma-continuum/zinit/blob/main/scripts/install.sh,19,9
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,17,13
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,14,11
/zdharma-continuum/zinit/tree/main,14,9
/zdharma-continuum/zinit/discussions/533,13,12
/zdharma-continuum/zinit/issues/647,13,12
