referrer,views_total,views_unique
Google,702,468
github.com,156,96
Bing,61,40
search.brave.com,55,26
DuckDuckGo,52,36
youtube.com,47,35
wicksipedia.com,36,31
zdharma-continuum.github.io,12,11
doubao.com,7,1
kagi.com,5,4
