url_path,views_total,views_unique
/zdharma-continuum/zinit,2200,1261
/zdharma-continuum/zinit/issues,64,32
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,50,19
/zdharma-continuum/zinit/blob/main/README.md,50,18
/zdharma-continuum/zinit/tree/main/scripts,40,14
/zdharma-continuum/zinit/discussions/533,30,21
/zdharma-continuum/zinit/blob/main/zinit.zsh,24,9
/zdharma-continuum/zinit/discussions/651,22,15
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,22,13
/zdharma-continuum/zinit/wiki,21,10
