url_path,views_total,views_unique
/zdharma-continuum/zinit,4231,2372
/zdharma-continuum/zinit/issues,144,69
/zdharma-continuum/zinit/tree/main/scripts,94,36
/zdharma-continuum/zinit/discussions,63,10
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,61,22
/zdharma-continuum/zinit/blob/main/README.md,50,18
/zdharma-continuum/zinit/blob/main/scripts/install.sh,43,13
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,41,21
/zdharma-continuum/zinit/discussions/533,38,30
/zdharma-continuum/zinit/wiki,37,23
