url_path,views_total,views_unique
/zdharma-continuum/zinit,1391,780
/zdharma-continuum/zinit/issues,50,29
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,45,18
/zdharma-continuum/zinit/tree/main/scripts,38,14
/zdharma-continuum/zinit/commits/main,38,5
/zdharma-continuum/zinit/discussions/533,29,22
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,22,6
/zdharma-continuum/zinit/blob/main/scripts/install.sh,18,9
/zdharma-continuum/zinit/blob/main/zinit.zsh,17,7
/zdharma-continuum/zinit/wiki,16,8
