time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-24 00:00:00+00:00,229,184,164,100
2023-07-25 00:00:00+00:00,291,216,176,106
2023-07-26 00:00:00+00:00,263,198,281,104
2023-07-27 00:00:00+00:00,254,197,215,114
2023-07-28 00:00:00+00:00,274,184,216,111
2023-07-29 00:00:00+00:00,355,177,129,72
2023-07-30 00:00:00+00:00,186,141,139,69
2023-07-31 00:00:00+00:00,315,208,167,96
2023-08-01 00:00:00+00:00,264,200,188,117
2023-08-02 00:00:00+00:00,246,184,131,78
2023-08-03 00:00:00+00:00,199,175,145,93
2023-08-04 00:00:00+00:00,219,170,160,97
2023-08-05 00:00:00+00:00,197,139,202,70
2023-08-06 00:00:00+00:00,185,145,91,52
