time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-03 00:00:00+00:00,170,134,229,104
2024-08-04 00:00:00+00:00,161,128,262,106
2024-08-05 00:00:00+00:00,213,174,230,155
2024-08-06 00:00:00+00:00,183,144,263,143
2024-08-07 00:00:00+00:00,186,143,235,130
2024-08-08 00:00:00+00:00,193,158,257,151
2024-08-09 00:00:00+00:00,173,147,199,117
2024-08-10 00:00:00+00:00,126,107,199,86
2024-08-11 00:00:00+00:00,106,88,219,102
2024-08-12 00:00:00+00:00,165,144,249,155
2024-08-13 00:00:00+00:00,165,141,327,150
2024-08-14 00:00:00+00:00,177,160,222,135
2024-08-15 00:00:00+00:00,203,160,322,122
2024-08-16 00:00:00+00:00,169,140,310,136
