referrer,views_total,views_unique
Google,1364,754
github.com,342,126
Bing,87,47
DuckDuckGo,33,23
zdharma-continuum.github.io,30,15
search.brave.com,26,18
gist.github.com,26,15
wiki.archlinux.org,11,5
qiita.com,9,8
hatenablog-parts.com,9,4
