referrer,views_total,views_unique
Google,858,576
github.com,209,113
youtube.com,70,50
Bing,64,40
search.brave.com,54,31
DuckDuckGo,48,34
wicksipedia.com,47,28
chatgpt.com,13,13
zdharma-continuum.github.io,13,11
aloxaf.com,10,1
