time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-02 00:00:00+00:00,124,107,167,100
2024-10-03 00:00:00+00:00,131,115,162,106
2024-10-04 00:00:00+00:00,150,132,206,121
2024-10-05 00:00:00+00:00,138,114,177,91
2024-10-06 00:00:00+00:00,130,109,173,94
2024-10-07 00:00:00+00:00,166,143,218,145
2024-10-08 00:00:00+00:00,182,155,225,140
2024-10-09 00:00:00+00:00,148,127,231,115
2024-10-10 00:00:00+00:00,201,162,252,120
2024-10-11 00:00:00+00:00,157,142,265,139
2024-10-12 00:00:00+00:00,258,164,256,134
2024-10-13 00:00:00+00:00,208,135,192,124
2024-10-14 00:00:00+00:00,199,168,274,143
2024-10-15 00:00:00+00:00,190,172,211,150
