url_path,views_total,views_unique
/zdharma-continuum/zinit,1947,1070
/zdharma-continuum/zinit/issues,52,27
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,52,21
/zdharma-continuum/zinit/blob/main/zinit.zsh,48,13
/zdharma-continuum/zinit/tree/main/scripts,40,15
/zdharma-continuum/zinit/tree/main/doc,28,13
/zdharma-continuum/zinit/wiki,22,13
/zdharma-continuum/zinit/blob/main/scripts/install.sh,21,8
/zdharma-continuum/zinit/blob/main/README.md,16,9
/zdharma-continuum/zinit/blob/1cb1df630787a28234e6310bd66fe8aa7f432663/zinit.zsh,14,5
