url_path,views_total,views_unique
/zdharma-continuum/zinit,2393,1389
/zdharma-continuum/zinit/issues,107,31
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,38,17
/zdharma-continuum/zinit/tree/main/scripts,28,23
/zdharma-continuum/zinit/wiki,25,10
/zdharma-continuum/zinit/issues/647,23,18
/zdharma-continuum/zinit/discussions/533,21,18
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,19,18
/zdharma-continuum/zinit/discussions/312,18,13
/zdharma-continuum/zinit/blob/main/scripts/install.sh,15,12
