url_path,views_total,views_unique
/zdharma-continuum/zinit,5747,3299
/zdharma-continuum/zinit/issues,183,97
/zdharma-continuum/zinit/blob/main/README.md,97,33
/zdharma-continuum/zinit/tree/main/scripts,94,40
/zdharma-continuum/zinit/commits/main,87,19
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,77,28
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,60,30
/zdharma-continuum/zinit/blob/main/zinit.zsh,58,18
/zdharma-continuum/zinit/wiki,56,31
/zdharma-continuum/zinit/discussions/533,44,34
