time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-05 00:00:00+00:00,611,409,240,131
2025-02-06 00:00:00+00:00,512,385,254,138
2025-02-07 00:00:00+00:00,506,403,238,140
2025-02-08 00:00:00+00:00,538,351,218,112
2025-02-09 00:00:00+00:00,476,387,232,131
2025-02-10 00:00:00+00:00,501,401,240,159
2025-02-11 00:00:00+00:00,554,385,238,132
2025-02-12 00:00:00+00:00,471,387,193,133
2025-02-13 00:00:00+00:00,446,332,242,114
2025-02-14 00:00:00+00:00,534,344,231,134
2025-02-15 00:00:00+00:00,494,344,179,109
2025-02-16 00:00:00+00:00,479,350,186,101
2025-02-17 00:00:00+00:00,565,448,292,139
2025-02-18 00:00:00+00:00,661,385,232,141
