time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-19 00:00:00+00:00,567,412,232,125
2025-03-20 00:00:00+00:00,595,421,221,122
2025-03-21 00:00:00+00:00,639,454,266,151
2025-03-22 00:00:00+00:00,555,417,201,108
2025-03-23 00:00:00+00:00,441,349,224,124
2025-03-24 00:00:00+00:00,552,414,256,138
2025-03-25 00:00:00+00:00,613,476,229,138
2025-03-26 00:00:00+00:00,586,473,203,136
2025-03-27 00:00:00+00:00,561,422,220,118
2025-03-28 00:00:00+00:00,505,401,151,103
2025-03-29 00:00:00+00:00,459,357,228,121
2025-03-30 00:00:00+00:00,419,334,182,95
2025-03-31 00:00:00+00:00,507,411,207,128
2025-04-01 00:00:00+00:00,532,426,259,147
