referrer,views_total,views_unique
Google,767,508
github.com,162,114
Bing,62,37
search.brave.com,53,40
wicksipedia.com,47,29
DuckDuckGo,45,30
youtube.com,35,24
zdharma-continuum.github.io,9,6
chatgpt.com,6,5
wiki.archlinux.org,6,4
