url_path,views_total,views_unique
/zdharma-continuum/zinit,5924,3365
/zdharma-continuum/zinit/issues,187,98
/zdharma-continuum/zinit/tree/main/scripts,94,40
/zdharma-continuum/zinit/blob/main/README.md,92,30
/zdharma-continuum/zinit/commits/main,81,16
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,73,26
/zdharma-continuum/zinit/blob/main/zinit.zsh,60,18
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,58,28
/zdharma-continuum/zinit/wiki,53,29
/zdharma-continuum/zinit/discussions/533,46,36
