url_path,views_total,views_unique
/zdharma-continuum/zinit,1900,1165
/zdharma-continuum/zinit/issues,25,11
/zdharma-continuum/zinit/tree/main/scripts,22,15
/zdharma-continuum/zinit/discussions/377,16,5
/zdharma-continuum/zinit/blob/main/scripts/install.sh,12,10
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,11,9
/zdharma-continuum/zinit/discussions/651,11,8
/zdharma-continuum/zinit/wiki,11,7
/zdharma-continuum/zinit/releases/tag/v3.14.0,10,9
/zdharma-continuum/zinit/blob/main/zinit.zsh,8,7
