url_path,views_total,views_unique
/zdharma-continuum/zinit,2479,1433
/zdharma-continuum/zinit/issues,57,36
/zdharma-continuum/zinit/tree/main/scripts,33,22
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,32,22
/zdharma-continuum/zinit/blob/main/README.md,28,19
/zdharma-continuum/zinit/blob/main/zinit.zsh,24,14
/zdharma-continuum/zinit/issues/647,21,18
/zdharma-continuum/zinit/discussions/533,20,18
/zdharma-continuum/zinit/discussions/651,18,16
/zdharma-continuum/zinit/wiki/Recipes-for-popular-programs,17,12
