time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-21 00:00:00+00:00,660,517,170,103
2025-09-22 00:00:00+00:00,800,553,224,125
2025-09-23 00:00:00+00:00,1737,614,213,137
2025-09-24 00:00:00+00:00,857,527,182,111
2025-09-25 00:00:00+00:00,1678,666,212,128
2025-09-26 00:00:00+00:00,1203,601,203,135
2025-09-27 00:00:00+00:00,1101,471,190,118
2025-09-28 00:00:00+00:00,917,520,153,102
2025-09-29 00:00:00+00:00,1056,666,270,147
2025-09-30 00:00:00+00:00,884,589,235,133
2025-10-01 00:00:00+00:00,807,532,261,160
2025-10-02 00:00:00+00:00,1011,563,222,123
2025-10-03 00:00:00+00:00,914,510,222,139
2025-10-04 00:00:00+00:00,511,399,130,92
